date,channel_id,video_id,device_type,operating_system,traffic_source_type,traffic_source_detail,video_thumbnail_impressions,video_thumbnail_impressions_ctr
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,105,5,5,unknown,18,0.055555555555555552
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,101,2,7,-MWj2G5URUc,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,102,29,7,1hl0SfyvmqI,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,104,5,7,3AQw6eUmK58,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,104,5,7,4InYPFUYJwM,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,102,4,7,4fmGhGN85VY,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,105,5,7,6eXgdgqomh0,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,101,2,7,8wwHWz4qjZ8,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,105,5,7,91CkV10VthM,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,102,19,7,9TR_UfEx5LE,1,1
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,104,4,7,9nUP8yzl7dM,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,104,5,7,9nUP8yzl7dM,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,101,2,7,AUChW4SSwdM,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,101,2,7,CI6N5-oJfFk,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,104,5,7,CI6N5-oJfFk,5,0.2
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,104,5,7,Coao2BJDhFQ,1,1
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,104,4,7,DDcDtleiaGY,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,104,5,7,DDcDtleiaGY,2,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,101,2,7,EvoV01i7fRw,2,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,102,1,7,EvoV01i7fRw,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,101,9,7,FDHnRcY2g-w,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,102,4,7,L4fbBevu3XQ,1,0
